"Status","Name","Duration in ms","Description"
"passed","testcase.test_appRechargeSubmit.TestRechargeSubmit#test_appRechargeSubmit","455",""
"passed","testcase.test_user_login.TestLogin#test_login","19",""
"passed","testcase.test_user_login.TestLogin#test_login","82",""
"passed","testcase.test_user_login.TestLogin#test_login","16",""
"passed","testcase.test_user_login.TestLogin#test_login","121",""
"passed","testcase.test_appRechargeSubmit.TestRechargeSubmit#test_appRechargeSubmit","41",""
"passed","testcase.test_appRechargeSubmit.TestRechargeSubmit#test_appRechargeSubmit","34",""
"passed","testcase.test_appRechargeSubmit.TestRechargeSubmit#test_appRechargeSubmit","37",""
